Annual_Rainfall_(mm),Min_Temperature_(°C),Max_Temperature_(°C),Year,Kharif_Area_(Hectare),Kharif_Production_(Tonnes),Kharif_Yield_(Tonne/Hectare),Rabi_Area_(Hectare),Rabi_Production_(Tonnes),Rabi_Yield_(Tonne/Hectare),Market_Price_Max,Market_Price_Min,Average_Market_Price,Area_Irrigated,Gross_Area_Irrigated,Alluvial Soil,Black Soil,Clayey Soil,Red Soil,Sandy,Sandy Loam,Zone_Central Telangana Zone,Zone_Northern Telangana Zone,Zone_Southern Telangana Zone,District_Adilabad,District_Bhadradri Kothagudem,District_Jagtial,District_Jangaon,District_Jayashankar Bhupalpally,District_Jogulamba Gadwal,District_Kamareddy,District_Karimnagar,District_Khammam,District_Komaram Bheem Asifabad,District_Mahabubabad,District_Mahbubnagar,District_Mancherial,District_Medak,District_Medchal Malkajgiri,District_Mulugu,District_Nagarkurnool,District_Nalgonda,District_Nirmal,District_Nizamabad,District_Peddapalli,District_Rajanna Sircilla,District_Rangareddy,District_Siddipet,District_Suryapet,District_Vikarabad,District_Wanaparthy,District_Warangal Rural,District_Warangal Urban,District_Yadadri Bhuvanagiri,Crop_Bengal Gram,Crop_Black Gram,Crop_Castor,Crop_Cotton,Crop_Cowpea,Crop_Dry Chillies,Crop_Green Gram,Crop_Groundnut,Crop_Maize,Crop_Minor Millets,Crop_Red Gram,Crop_Rice,Crop_Sesame,Crop_Sorghum,Crop_Sorghum(white),Crop_Soyabean,Crop_Sunflower,Crop_Turmeric,Crop_wheat,season_Kharif,season_Rabi
1213.0,18.3,37.2,2022-2023,68275.0,236954.0,3.47,59.0,205.0,3.47,7200.0,7200.0,7200.0,331433.0,331433.0,1,0,1,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1018.0,16.2,39.3,2022-2023,0.0,0.0,0.0,4862.0,3812.0,0.78,9689.0,9689.0,9689.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1018.0,16.2,39.3,2022-2023,0.0,0.0,0.0,108.0,222.0,2.06,6659.0,3500.0,5079.5,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1018.0,16.2,39.3,2022-2023,5943.0,57481.0,9.67,0.0,0.0,0.0,8181.0,8181.0,8181.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1018.0,16.2,39.3,2022-2023,122197.0,441253.0,3.61,120927.0,437272.0,3.62,2203.0,2203.0,2203.0,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1018.0,16.2,39.3,2022-2023,18869.0,121120.0,6.42,9877.0,69337.0,7.02,2272.0,1965.0,2118.5,727211.0,738953.0,0,1,0,1,0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
858.0,17.4,38.8,2022-2023,487.0,239.0,0.49,22.0,5.0,0.23,5511.0,5511.0,5511.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
858.0,17.4,38.8,2022-2023,551.0,1564.0,2.84,1113.0,4835.0,4.34,6625.0,5401.0,6013.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
858.0,17.4,38.8,2022-2023,1637.0,8182.0,5.0,3741.0,22027.0,5.89,2271.0,1901.0,2086.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
858.0,17.4,38.8,2022-2023,86366.0,250720.0,2.9,78000.0,168558.0,2.16,206.0,206.0,206.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
858.0,17.4,38.8,2022-2023,4.0,3.0,0.75,8.0,5.0,0.63,7550.0,7550.0,7550.0,451775.0,451775.0,0,1,1,1,0,0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1185.0,17.2,38.3,2022-2023,44401.0,144436.0,3.25,34104.0,105484.0,3.09,2060.0,2060.0,2060.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1185.0,17.2,38.3,2022-2023,40889.0,164037.0,4.01,13.0,52.0,4.0,6380.0,6380.0,6380.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1185.0,17.2,38.3,2022-2023,0.0,0.0,0.0,12.0,19.0,1.58,6600.0,6600.0,6600.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1185.0,17.2,38.3,2022-2023,6554.0,27350.0,4.17,515.0,2182.0,4.24,16494.7,12404.5,14449.6,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1185.0,17.2,38.3,2022-2023,85.0,387.0,4.55,4464.0,31494.0,7.06,1962.0,1962.0,1962.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1185.0,17.2,38.3,2022-2023,15.0,13.0,0.87,23.0,26.0,1.13,7755.0,7755.0,7755.0,268832.0,268832.0,0,1,1,1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
606.0,17.7,38.9,2022-2023,0.0,0.0,0.0,6200.0,9164.0,1.48,7059.0,5819.0,6439.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
606.0,17.7,38.9,2022-2023,500.0,451.0,0.9,1131.0,1492.0,1.32,5711.0,5519.0,5615.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
606.0,17.7,38.9,2022-2023,2269.0,4967.0,2.19,6572.0,13387.0,2.04,6349.0,2729.0,4539.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
606.0,17.7,38.9,2022-2023,4372.0,18104.0,4.14,13175.0,49683.0,3.77,2369.0,2369.0,2369.0,439638.0,440816.0,0,1,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
989.0,16.2,38.7,2022-2023,2560.0,2025.0,0.79,2.0,2.0,1.0,7373.0,7373.0,7373.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
989.0,16.2,38.7,2022-2023,0.0,0.0,0.0,35633.0,55873.0,1.57,7029.0,6809.0,6919.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
989.0,16.2,38.7,2022-2023,36290.0,49572.0,1.37,666.0,1036.0,1.56,3912.0,3912.0,3912.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
989.0,16.2,38.7,2022-2023,30149.0,133228.0,4.42,15398.0,97177.0,6.31,2407.0,2407.0,2407.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
989.0,16.2,38.7,2022-2023,20.0,14.0,0.7,7790.0,30630.0,3.93,1805.0,1805.0,1805.0,603491.0,649486.0,0,1,1,0,0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,110266.0,359357.0,3.26,109804.0,346432.0,3.16,2207.05,2198.64,2202.845,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
902.0,16.9,38.9,2022-2023,0.0,0.0,0.0,19.0,20.0,1.05,5750.67,4751.67,5251.17,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,50.0,25.0,0.5,16.0,11.0,0.69,7495.5,7495.5,7495.5,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,0.0,0.0,0.0,13.0,10.0,0.77,10359.0,10359.0,10359.0,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,20928.0,75341.0,3.6,48.0,173.0,3.6,7246.0,6825.95,7035.975,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,1743.0,8072.0,4.63,8070.0,47831.0,5.93,2205.2,2139.05,2172.125,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,22.0,165.0,7.5,0.0,0.0,0.0,10959.86,8627.29,9793.575,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
902.0,16.9,38.9,2022-2023,0.0,0.0,0.0,3.0,4.0,1.33,2000.0,1000.0,1500.0,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
902.0,16.9,38.9,2022-2023,3.0,5.0,1.67,0.0,0.0,0.0,4014.5,4014.5,4014.5,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
902.0,16.9,38.9,2022-2023,24.0,58.0,2.42,230.0,436.0,1.9,3501.0,3501.0,3501.0,599419.0,599419.0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1051.0,16.9,37.6,2022-2023,117343.0,411639.0,3.51,86958.0,299309.0,3.44,2266.79,2204.42,2235.605,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1051.0,16.9,37.6,2022-2023,1202.0,5964.0,4.96,36921.0,233082.0,6.31,2223.08,2131.83,2177.455,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,94628.0,281101.0,2.97,59.0,175.0,2.97,6692.5,6330.0,6511.25,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,0.0,0.0,0.0,15.0,24.0,1.6,7400.0,7225.0,7312.5,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,28085.0,100039.0,3.56,90.0,193.0,2.14,3600.0,3000.0,3300.0,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1051.0,16.9,37.6,2022-2023,4186.0,2700.0,0.65,1400.0,1333.0,0.95,7650.0,6750.0,7200.0,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,8.0,6.0,0.75,87.0,78.0,0.9,7100.0,7100.0,7100.0,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,54.0,130.0,2.41,223.0,557.0,2.5,6525.0,6425.0,6475.0,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1051.0,16.9,37.6,2022-2023,0.0,0.0,0.0,18.0,34.0,4.89,6000.0,6300.0,6150.0,872160.0,872160.0,1,1,1,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1189.0,16.9,39.5,2022-2023,3906.0,4754.0,1.22,17.0,22.0,1.29,5200.0,5000.0,5100.0,86569.0,86569.0,0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1189.0,16.9,39.5,2022-2023,129158.0,409507.0,3.17,15.0,48.0,3.2,7500.0,7200.0,7350.0,86569.0,86569.0,0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1189.0,16.9,39.5,2022-2023,0.0,0.0,0.0,3188.0,4205.0,1.32,7700.0,7600.0,7650.0,86569.0,86569.0,0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1189.0,16.9,39.5,2022-2023,365.0,1662.0,4.55,937.0,4725.0,5.04,2300.0,2300.0,2300.0,86569.0,86569.0,0,1,0,1,0,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1047.0,16.9,38.7,2022-2023,39058.0,118093.0,3.02,23.0,70.0,3.04,7774.0,5858.0,6816.0,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1047.0,16.9,38.7,2022-2023,22705.0,84077.0,3.7,6.0,31.0,5.17,15909.0,10529.0,13219.0,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1047.0,16.9,38.7,2022-2023,9.0,6.0,0.67,223.0,197.0,0.88,7502.0,6252.0,6877.0,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1047.0,16.9,38.7,2022-2023,37.0,83.0,2.24,280.0,556.0,1.99,6052.0,2356.0,4204.0,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1047.0,16.9,38.7,2022-2023,22.0,16.0,0.76,838.0,503.0,0.6,7702.0,7566.0,7634.0,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1047.0,16.9,38.7,2022-2023,22030.0,90720.0,4.12,18423.0,119753.0,6.5,2136.0,1525.0,1830.5,482742.0,482742.0,0,0,1,1,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
