Kharif_Yield_(Tonne/Hectare)
1.58
3.17
4.55
0.42
1.5
3.5
2.05
0.0
2.5
3.47
3.47
0.0
0.0
9.67
3.61
6.42
0.49
2.84
5.0
2.9
0.75
3.25
4.01
0.0
4.17
4.55
0.87
0.0
0.9
2.19
4.14
0.79
0.0
1.37
4.42
0.7
3.26
0.0
0.5
0.0
3.6
4.63
7.5
0.0
1.67
2.42
3.51
4.96
2.97
0.0
3.56
0.65
0.75
2.41
0.0
1.22
3.17
0.0
4.55
3.02
3.7
0.67
2.24
0.76
4.12
0.48
0.67
2.39
0.0
0.7
0.36
0.62
3.25
3.38
2.59
2.165
6.21
3.05
2.66
0.53
1.0
1.0
0.5
0.67
0.54
2.68
2.43
3.67
2.5
2.165
1.32
4.0
3.12
3.02
2.9
0.74
2.2
0.3
1.31
2.32
0.67
1.0
4.43
3.3
0.67
2.0
0.7
1.44
0.0
2.14
0.68
0.89
4.56
3.35
2.0
7.36
0.0
0.69
0.0
4.7
3.46
1.83
2.75
1.85
6.06
4.0
0.0
0.0
5.9
2.39
0.0
3.48
3.85
6.07
0.0
3.88
5.61
0.61
0.56
0.56
3.56
3.47
0.68
0.69
0.73
0.68
5.06
1.0
0.59
3.42
2.62
0.0
4.6
3.4
0.49
4.24
0.82
13.16
0.47
1.21
1.61
3.7
2.37
4.94
0.5
0.0
0.0
4.05
5.45
3.59
3.75
0.67
0.63
1.61
5.29
2.0
5.22
4.56
