Rabi_Yield_(Tonne/Hectare)
1.11
3.22
5.89
1.46
1.61
3.45
2.07
0.48
2.31
3.57
3.47
0.78
2.06
0.0
3.62
7.02
0.23
4.34
5.89
2.16
0.63
3.09
4.0
1.58
4.24
7.06
1.13
1.48
1.32
2.04
3.77
1.0
1.57
1.56
6.31
3.93
3.16
1.05
0.69
0.77
3.6
5.93
0.0
1.33
0.0
1.9
3.44
6.31
2.97
1.6
2.14
0.95
0.9
2.5
4.89
1.29
3.2
1.32
5.04
3.04
5.17
0.88
1.99
0.6
6.5
1.02
0.88
1.89
1.5
1.5
1.13
2.06
6.93
3.53
2.67
0.0
5.08
3.26
2.66
0.0
0.87
0.87
1.0
1.25
1.5
2.69
2.46
5.17
5.54
0.0
6.51
3.61
6.32
3.38
2.9
1.1
2.54
0.95
1.28
2.32
1.16
0.0
5.32
3.48
1.22
1.58
1.59
2.33
0.9
2.13
2.06
1.51
6.51
3.72
1.62
7.5
2.2
2.04
0.63
8.2
3.0
1.27
2.5
0.48
6.0
3.89
1.7
0.82
8.47
2.5
1.63
3.85
4.0
7.08
1.12
3.88
7.7
1.14
1.92
1.92
3.69
7.33
1.0
0.0
1.25
1.29
5.07
1.31
1.0
3.04
2.31
1.54
6.51
3.44
0.53
3.89
1.02
13.0
1.6
1.29
1.6
3.32
2.99
6.51
2.06
1.07
1.87
4.05
6.03
3.86
3.75
0.0
2.0
1.5
7.65
2.0
5.09
6.5
