,,,,,,,,kharif season,,,Rabi Season,,,,,,,
Name of the Zone,District ,Soil Type,Crop,Annual Rainfall (mm),Min-Temperature(Degrees Celsius),Max-Temperature(Degrees Celsius),Year,Area(Hectare)k,Production (Tonnes)k,Yield (Tonne/Hectare)k,Area(Hectare),Production (Tonnes),Yield (Tonne/Hectare),Market Price(max),Market price (min),Average Market price,"Area Irrigated more than once
More than Once",Gross area irrigated
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",groundnut ,991,16,39,2022-2023,97,232,2.39,6,15,2.5,11700,11700,11700,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",onion,991,16,39,2022-2023,25,268,10.72,101,2385,23.61,900,900,900,629985,966995
Northern Telangana Zone,Nizamabad,"Black Soil, Sandy Loam",sunflower,991,16,39,2022-2023,0,0,0,2187,3571,1.63,4512,3751,4131.5,629985,966995
Northern Telangana Zone,Peddapalli,"Black Soil, Red Soil",Rice,1059,16.9,39,2022-2023,86696,301789,3.48,83904,323030,3.85,2300,2300,2300,484694,484694
Northern Telangana Zone,Peddapalli,"Black Soil, Red Soil",Cotton,1059,16.9,39,2022-2023,27134,104386,3.85,3,12,4,7161,6009,6585,484694,484694
Northern Telangana Zone,Peddapalli,"Black Soil, Red Soil",Maize,1059,16.9,39,2022-2023,375,2277,6.07,4723,33425,7.08,1962,1962,1962,484694,484694
Northern Telangana Zone,Rajanna Sircilla,"Black Soil, Red Soil, Clayey Soil",Red Gram,867,16.5,38.8,2022-2023,0,0,0,152,170,1.12,2060,2040,2050,365607,365607
Northern Telangana Zone,Rajanna Sircilla,"Black Soil, Red Soil, Clayey Soil",Cotton,867,16.5,38.8,2022-2023,23297,90447,3.88,8,31,3.88,6620,6620,6620,365607,365607
Northern Telangana Zone,Rajanna Sircilla,"Black Soil, Red Soil, Clayey Soil",Maize,867,16.5,38.8,2022-2023,619,3473,5.61,314,2417,7.7,2090,2090,2090,365607,365607
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Red Gram,747,17.2,38.5,2022-2023,5760,3491,0.61,7,8,1.14,8161.83,7781,7971.415,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Groundnut,747,17.2,38.5,2022-2023,2070,1167,0.56,262,503,1.92,6613,5819.5,6216.25,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Sorghum,747,17.2,38.5,2022-2023,2070,1167,0.56,262,503,1.92,2253,2092.71,2172.855,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Rice,747,17.2,38.5,2022-2023,50786,180747,3.56,36605,135182,3.69,2141.71,2035.86,2088.785,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Maize,747,17.2,38.5,2022-2024,29022,100619,3.47,5475,40154,7.33,2253,2092.71,2172.855,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Green Gram,747,17.2,38.5,2022-2025,28,19,0.68,3,3,1,6532.75,6082.75,6307.75,263196,313021
Southern Telangana Zone,Rangareddy,"Sandy Loam, Red Soil",Black Gram,747,17.2,38.5,2022-2026,26,18,0.69,0,0,0,6005,3511,4758,263196,313021
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Cowpea,779,16.8,38.6,2022-2023,62,45,0.73,142,178,1.25,7023,6758,6890.5,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Castor,779,16.8,38.6,2022-2023,51,21,0.68,7,9,1.29,5111,5111,5111,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Maize,779,16.8,38.6,2022-2023,15072,76325,5.06,6895,34978,5.07,2315,2251,2283,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Red Gram,779,16.8,38.6,2022-2023,1,1,1,1278,1668,1.31,6615,6212,6413.5,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Green Gram,779,16.8,38.6,2022-2023,69,41,0.59,12,12,1,7452,7452,7452,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Rice,779,16.8,38.6,2022-2023,148181,506186,3.42,141107,428401,3.04,2511,2511,2511,800250,800294
Central Telangana Zone,Siddipet,"Black Soil, Red Soil",Groundnut,779,16.8,38.6,2022-2027,39,102,2.62,537,1240,2.31,6666,6666,6666,800250,800294
Southern Telangana Zone,Suryapet,"Red Soil, Sandy Loam, Black Soil",Red Gram,780,18.3,38.2,2022-2023,0,0,0,13,20,1.54,4179,4179,4179,478261,984489
Southern Telangana Zone,Suryapet,"Red Soil, Sandy Loam, Black Soil",Maize,780,18.3,38.2,2022-2023,5,23,4.6,211,1374,6.51,2123,2123,2123,478261,984489
Southern Telangana Zone,Suryapet,"Red Soil, Sandy Loam, Black Soil",Cotton,780,18.3,38.2,2022-2023,46816,159174,3.4,9,31,3.44,7300,6029,6664.5,478261,984489
Southern Telangana Zone,Suryapet,"Red Soil, Sandy Loam, Black Soil",Green Gram,780,18.3,38.2,2022-2023,883,434,0.49,80,42,0.53,7409,6134,6771.5,478261,984489
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Maize,853,853,853,2022-2023,26026,110246,4.24,2752,10708,3.89,2379,1959,2169,285524,286852
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Red Gram,853,853,853,2022-2024,62613,51030,0.82,362,370,1.02,6352,5989,6170.5,285524,286852
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Turmeric,853,853,853,2022-2025,722,9505,13.16,3,39,13,12414,6868,9641,285524,286852
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Black Gram,853,853,853,2022-2026,3878,1834,0.47,5,8,1.6,6555,4923,5739,285524,286852
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Soyabean,853,853,853,2022-2027,1326,1600,1.21,21,27,1.29,5289,5489,5389,285524,286852
Southern Telangana Zone,Vikarabad,"Sandy Loam, Red Soil",Red Gram,853,17.1,38.5,2022-2023,23,37,1.61,7445,11905,1.6,7179,6828,7003.5,285524,286852
Southern Telangana Zone,Wanaparthy,"Red Soil, Sandy Loam",Rice,664,17.6,38.8,2022-2023,74092,273770,3.7,66100,219122,3.32,2160,1950,2055,432443,446204
Southern Telangana Zone,Wanaparthy,"Red Soil, Sandy Loam",Groundnut,664,17.6,38.8,2022-2024,3120,7398,2.37,9174,27439,2.99,6689,5799,6244,432443,446204
Southern Telangana Zone,Wanaparthy,"Red Soil, Sandy Loam",Maize,664,17.6,38.8,2022-2023,5641,27883,4.94,461,3002,6.51,2261,2261,2261,432443,446204
Central Telangana Zone,Warangal Rural,"Black Soil, Red Soil, Clayey Soil",Sorghum,1021,17.5,38.5,2022-2023,2,1,0.5,115,237,2.06,3405.5,3405.5,3405.5,453533,453533
Central Telangana Zone,Warangal Rural,"Black Soil, Red Soil, Clayey Soil",Red Gram,1021,17.5,38.5,2022-2023,0,0,0,27,29,1.07,4218.75,3465.5,3842.125,453533,453533
Central Telangana Zone,Warangal Rural,"Black Soil, Red Soil, Clayey Soil",green Gram,1021,17.5,38.5,2022-2023,0,0,0,45,84,1.87,6697.5,6233.5,6465.5,453533,453533
Central Telangana Zone,Warangal Rural,"Black Soil, Red Soil, Clayey Soil",Cotton,1021,17.5,38.5,2022-2023,54785,221718,4.05,117,474,4.05,6466.09,5757.36,6111.725,453533,453533
Central Telangana Zone,Warangal Rural,"Black Soil, Red Soil, Clayey Soil",Maize,1021,17.5,38.5,2022-2023,5664,30857,5.45,35781,215831,6.03,2270.67,2057.44,2164.055,453533,453533
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Rice,902,17.6,38.9,2022-2023,59900,214861,3.59,54186,209375,3.86,2120.82,1899.76,2010.29,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Cowpea,902,17.6,38.9,2022-2023,37266,139638,3.75,60,225,3.75,6640.67,6023.33,6332,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Castor,902,17.6,38.9,2022-2024,3,2,0.67,0,0,0,5282,5282,5282,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Sorghum,902,17.6,38.9,2022-2025,8,5,0.63,1,2,2,3405.5,3405.5,3405.5,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Soyabean,902,17.6,38.9,2022-2026,85,137,1.61,2,3,1.5,400,400,400,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Black Gram,902,17.6,38.9,2022-2023,1862,9848,5.29,18221,139336,7.65,7552.33,6579.67,7066,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Turmeric,902,17.6,38.9,2022-2023,1,2,2,22,44,2,9325.25,7578.25,8451.75,410060,410060
Central Telangana Zone,Warangal Urban,"Black Soil, Red Soil, Sandy Loam",Dry Chillies,902,17.6,38.9,2022-2023,1959,10224,5.22,198,1007,5.09,16494.7,12404.5,14449.6,410060,410060
Southern Telangana Zone,Yadadri Bhuvanagiri,"Red Soil, Sandy Loam",Rice,735,16.9,38.5,2022-2023,45,205,4.56,12,78,6.5,2300,2300,2300,608952,608952
